Field_ID,Landuse_Type_ID,Mgmt_Schd_ID,Greg_Yr_for_1st_Yr_of_Rotation,Percent_Rock_Cover,Interrill_Erosion_Code,Random_Roughness,Terrace_Horizontal_Distance,Terrace_Grade,Tile_Drain_ID,Input_Units_Code,,CDL_Category,CDL_Value,Modified_CDL_Category,
Other_Hay_Non_Alfalfa,CROPLAND,Other_Hay_Non_Alfalfa,,,,,,,,1,,Other Hay/Non Alfalfa,37,,Other_Hay_Non_Alfalfa
Camelina,CROPLAND,Camelina,,,,,,,,1,,Camelina,38,,Camelina
Buckwheat,CROPLAND,Buckwheat,,,,,,,,1,,Buckwheat,39,,Buckwheat
Sugarbeets,CROPLAND,Sugarbeets,,,,,,,,1,,Sugarbeets,41,,Sugarbeets
Dry_Beans,CROPLAND,Dry_Beans,,,,,,,,1,,Dry Beans,42,,Dry_Beans
Potatoes,CROPLAND,Potatoes,,,,,,,,1,,Potatoes,43,,Potatoes
Other_Crops,CROPLAND,Other_Crops,,,,,,,,1,,Other Crops,44,,Other_Crops
Sugarcane,CROPLAND,Sugarcane,,,,,,,,1,,Sugarcane,45,,Sugarcane
Sweet_Potatoes,CROPLAND,Sweet_Potatoes,,,,,,,,1,,Sweet Potatoes,46,,Sweet_Potatoes
Misc_Vegs_Fruits,CROPLAND,Misc_Vegs_Fruits,,,,,,,,1,,Misc Vegs & Fruits,47,,Misc_Vegs_Fruits
Watermelons,CROPLAND,Watermelons,,,,,,,,1,,Watermelons,48,,Watermelons
Onions,CROPLAND,Onions,,,,,,,,1,,Onions,49,,Onions
Cucumbers,CROPLAND,Cucumbers,,,,,,,,1,,Cucumbers,50,,Cucumbers
Chick_Peas,CROPLAND,Chick_Peas,,,,,,,,1,,Chick Peas,51,,Chick_Peas
Lentils,CROPLAND,Lentils,,,,,,,,1,,Lentils,52,,Lentils
Peas,CROPLAND,Peas,,,,,,,,1,,Peas,53,,Peas
Tomatoes,CROPLAND,Tomatoes,,,,,,,,1,,Tomatoes,54,,Tomatoes
Caneberries,CROPLAND,Caneberries,,,,,,,,1,,Caneberries,55,,Caneberries
Hops,CROPLAND,Hops,,,,,,,,1,,Hops,56,,Hops
Herbs,CROPLAND,Herbs,,,,,,,,1,,Herbs,57,,Herbs
Clover_Wildflowers,CROPLAND,Clover_Wildflowers,,,,,,,,1,,Clover/Wildflowers,58,,Clover_Wildflowers
Sod_Grass_Seed,PASTURE,Sod_Grass_Seed,,,,,,,,1,,Sod/Grass Seed,59,,Sod_Grass_Seed
Switchgrass,CROPLAND,Switchgrass,,,,,,,,1,,Switchgrass,60,,Switchgrass
Fallow_Idle_Cropland,CROPLAND,Fallow_Idle_Cropland,,,,,,,,1,,Fallow/Idle Cropland,61,,Fallow_Idle_Cropland
Pasture_Grass,CROPLAND,Pasture_Grass,,,,,,,,1,,Pasture/Grass,62,,Pasture_Grass
Forest,FOREST,Forest,,,,,,,,1,,Forest,63,,Forest
Shrubland,RANGELAND,Shrubland,,,,,,,,1,,Shrubland,"64, 152",,Shrubland
Barren,RANGELAND,Barren,,,,,,,,1,,Barren,65,,Barren
Cherries,CROPLAND,Cherries,,,,,,,,1,,Cherries,66,,Cherries
Peaches,CROPLAND,Peaches,,,,,,,,1,,Peaches,67,,Peaches
Apples,CROPLAND,Apples,,,,,,,,1,,Apples,68,,Apples
Grapes,CROPLAND,Grapes,,,,,,,,1,,Grapes,69,,Grapes
Christmas_Trees,FOREST,Christmas_Trees,,,,,,,,1,,Christmas Trees,70,,Christmas_Trees
Other_Tree_Crops,CROPLAND,Other_Tree_Crops,,,,,,,,1,,Other Tree Crops,71,,Other_Tree_Crops
Citrus,CROPLAND,Citrus,,,,,,,,1,,Citrus,72,,Citrus
Pecans,CROPLAND,Pecans,,,,,,,,1,,Pecans,74,,Pecans
Almonds,CROPLAND,Almonds,,,,,,,,1,,Almonds,75,,Almonds
Walnuts,CROPLAND,Walnuts,,,,,,,,1,,Walnuts,76,,Walnuts
Pears,CROPLAND,Pears,,,,,,,,1,,Pears,77,,Pears
Clouds/No ,PASTURE,mt_CCCCC,,,,,,,,0,,Clouds/No Data,81,,Clouds_No_Data
Developed,URBAN,Developed,,,,,,,,1,,Developed,82,,Developed
Water,URBAN,Developed,,,,,,,,1,,Developed,83,,Developed
Wetlands,URBAN,Developed,,,,,,,,1,,Developed,87,,Developed
Nonag_Undefined,FOREST,Nonag_Undefined,,,,,,,,1,,Nonag/Undefined,88,,Nonag_Undefined
Aquaculture,URBAN,Developed,,,,,,,,1,,Developed,92,,Developed
Open_Water,URBAN,Developed,,,,,,,,1,,Developed,111,,Developed
Perennial_Ice_Snow,URBAN,Developed,,,,,,,,1,,Developed,112,,Developed
Developed_Open_Space,URBAN,Developed_Open_Space,,,,,,,,1,,Developed/Open Space,121,,Developed_Open_Space
Developed_Low_Intensity,URBAN,Developed_Low_Intensity,,,,,,,,1,,Developed/Low Intensity,122,,Developed_Low_Intensity
Developed_Med_Intensity,URBAN,Developed_Med_Intensity,,,,,,,,1,,Developed/Med Intensity,123,,Developed_Med_Intensity
Developed_High_Intensity,URBAN,Developed_High_Intensity,,,,,,,,1,,Developed/High Intensity,124,,Developed_High_Intensity
Barren,RANGELAND,Barren,,,,,,,,1,,Barren,131,,Barren
Deciduous_Forest,FOREST,Deciduous_Forest,,,,,,,,1,,Deciduous Forest,141,,Deciduous_Forest
Evergreen_Forest,FOREST,Evergreen_Forest,,,,,,,,1,,Evergreen Forest,142,,Evergreen_Forest
Mixed_Forest,FOREST,Mixed_Forest,,,,,,,,1,,Mixed Forest,143,,Mixed_Forest
Grassland_Pasture,CROPLAND,Grassland_Pasture,,,,,,,,1,,Grassland/Pasture,176,,Grassland_Pasture
Woody_Wetlands,URBAN,Developed,,,,,,,,1,,Developed,190,,Developed
Herbaceous_Wetlands,URBAN,Developed,,,,,,,,1,,Developed,195,,Developed
Pistachios,CROPLAND,Pistachios,,,,,,,,1,,Pistachios,204,,Pistachios
Triticale,CROPLAND,Triticale,,,,,,,,1,,Triticale,205,,Triticale
Carrots,CROPLAND,Carrots,,,,,,,,1,,Carrots,206,,Carrots
Asparagus,CROPLAND,Asparagus,,,,,,,,1,,Asparagus,207,,Asparagus
Garlic,CROPLAND,Garlic,,,,,,,,1,,Garlic,208,,Garlic
Cantaloupes,CROPLAND,Cantaloupes,,,,,,,,1,,Cantaloupes,209,,Cantaloupes
Prunes,CROPLAND,Prunes,,,,,,,,1,,Prunes,210,,Prunes
Olives,CROPLAND,Olives,,,,,,,,1,,Olives,211,,Olives
Oranges,CROPLAND,Oranges,,,,,,,,1,,Oranges,212,,Oranges
Honeydew_Melons,CROPLAND,Honeydew_Melons,,,,,,,,1,,Honeydew Melons,213,,Honeydew_Melons
Broccoli,CROPLAND,Broccoli,,,,,,,,1,,Broccoli,214,,Broccoli
Peppers,CROPLAND,Peppers,,,,,,,,1,,Peppers,216,,Peppers
Pomegranates,CROPLAND,Pomegranates,,,,,,,,1,,Pomegranates,217,,Pomegranates
Nectarines,CROPLAND,Nectarines,,,,,,,,1,,Nectarines,218,,Nectarines
Greens,CROPLAND,Greens,,,,,,,,1,,Greens,219,,Greens
Plums,CROPLAND,Plums,,,,,,,,1,,Plums,220,,Plums
Strawberries,CROPLAND,Strawberries,,,,,,,,1,,Strawberries,221,,Strawberries
Squash,CROPLAND,Squash,,,,,,,,1,,Squash,222,,Squash
Apricots,CROPLAND,Apricots,,,,,,,,1,,Apricots,223,,Apricots
Vetch,CROPLAND,Vetch,,,,,,,,1,,Vetch,224,,Vetch
Dbl_Crop_WinWht_Corn,CROPLAND,Dbl_Crop_WinWht_Corn,,,,,,,,1,,Dbl Crop WinWht/Corn,225,,Dbl_Crop_WinWht_Corn
Dbl_Crop_Oats_Corn,CROPLAND,Dbl_Crop_Oats_Corn,,,,,,,,1,,Dbl Crop Oats/Corn,226,,Dbl_Crop_Oats_Corn
Lettuce,CROPLAND,Lettuce,,,,,,,,1,,Lettuce,227,,Lettuce
Pumpkins,CROPLAND,Pumpkins,,,,,,,,1,,Pumpkins,229,,Pumpkins
Dbl_Crop_Lettuce_Durum_Wht,CROPLAND,Dbl_Crop_Lettuce_Durum_Wht,,,,,,,,1,,Dbl Crop Lettuce/Durum Wht,230,,Dbl_Crop_Lettuce_Durum_Wht
Dbl_Crop_Lettuce_Cantaloupe,CROPLAND,Dbl_Crop_Lettuce_Cantaloupe,,,,,,,,1,,Dbl Crop Lettuce/Cantaloupe,231,,Dbl_Crop_Lettuce_Cantaloupe
Dbl_Crop_Lettuce_Cotton,CROPLAND,Dbl_Crop_Lettuce_Cotton,,,,,,,,1,,Dbl Crop Lettuce/Cotton,232,,Dbl_Crop_Lettuce_Cotton
Dbl_Crop_Lettuce_Barley,CROPLAND,Dbl_Crop_Lettuce_Barley,,,,,,,,1,,Dbl Crop Lettuce/Barley,233,,Dbl_Crop_Lettuce_Barley
Dbl_Crop_Durum_Wht_Sorghum,CROPLAND,Dbl_Crop_Durum_Wht_Sorghum,,,,,,,,1,,Dbl Crop Durum Wht/Sorghum,234,,Dbl_Crop_Durum_Wht_Sorghum
Dbl_Crop_Barley_Sorghum,CROPLAND,Dbl_Crop_Barley_Sorghum,,,,,,,,1,,Dbl Crop Barley/Sorghum,235,,Dbl_Crop_Barley_Sorghum
Dbl_Crop_WinWht_Sorghum,CROPLAND,Dbl_Crop_WinWht_Sorghum,,,,,,,,1,,Dbl Crop WinWht/Sorghum,236,,Dbl_Crop_WinWht_Sorghum
Dbl_Crop_Barley_Corn,CROPLAND,Dbl_Crop_Barley_Corn,,,,,,,,1,,Dbl Crop Barley/Corn,237,,Dbl_Crop_Barley_Corn
Dbl_Crop_WinWht_Cotton,CROPLAND,Dbl_Crop_WinWht_Cotton,,,,,,,,1,,Dbl Crop WinWht/Cotton,238,,Dbl_Crop_WinWht_Cotton
Dbl_Crop_Soybeans_Cotton,CROPLAND,Dbl_Crop_Soybeans_Cotton,,,,,,,,1,,Dbl Crop Soybeans/Cotton,239,,Dbl_Crop_Soybeans_Cotton
Dbl_Crop_Soybeans_Oats,CROPLAND,Dbl_Crop_Soybeans_Oats,,,,,,,,1,,Dbl Crop Soybeans/Oats,240,,Dbl_Crop_Soybeans_Oats
Dbl_Crop_Corn_Soybeans,CROPLAND,Dbl_Crop_Corn_Soybeans,,,,,,,,1,,Dbl Crop Corn/Soybeans,241,,Dbl_Crop_Corn_Soybeans
Blueberries,CROPLAND,Blueberries,,,,,,,,1,,Blueberries,242,,Blueberries
Cabbage,CROPLAND,Cabbage,,,,,,,,1,,Cabbage,243,,Cabbage
Cauliflower,CROPLAND,Cauliflower,,,,,,,,1,,Cauliflower,244,,Cauliflower
Celery,CROPLAND,Celery,,,,,,,,1,,Celery,245,,Celery
Radishes,CROPLAND,Radishes,,,,,,,,1,,Radishes,246,,Radishes
Turnips,CROPLAND,Turnips,,,,,,,,1,,Turnips,247,,Turnips
Eggplants,CROPLAND,Eggplants,,,,,,,,1,,Eggplants,248,,Eggplants
Gourds,CROPLAND,Gourds,,,,,,,,1,,Gourds,249,,Gourds
Cranberries,CROPLAND,Cranberries,,,,,,,,1,,Cranberries,250,,Cranberries
Dbl_Crop_Barley_Soybeans,CROPLAND,Dbl_Crop_Barley_Soybeans,,,,,,,,1,,Dbl Crop Barley/Soybeans,254,,Dbl_Crop_Barley_Soybeans
