Value,Class_Name,Count2021,Src_Year,Value1,RGB_R,RGB_G,RGB_B,Comments
56,Hops,335722,2021,56,0,175,73,Extracted RGB from 2021
57,Herbs,203824,2021,57,124,211,255,
58,Clover_Wildflowers,737030,2021,58,232,190,255,
59,Sod_Grass_Seed,5451017,2021,59,175,255,222,
60,Switchgrass,25848,2021,60,0,175,73,
61,Fallow_Idle_Cropland,66594828,2021,61,190,190,120,
62,Pasture_Grass,0,2021,62,0,0,0,Zero in 2021 (new code 176 Grassland/Pasture)
63,Forest,0,2021,63,147,204,147,Combined Category 141 142 143
64,Shrubland,0,2021,64,198,213,158,Zero in 2021 (new code 152)
65,Barren,0,2021,65,204,190,162,Zero in 2021 (new code 131)
66,Cherries,1135470,2021,66,255,0,255,Extracted RGB from 2021
67,Peaches,287510,2021,67,255,143,171,
68,Apples,2120326,2021,68,185,0,79,
69,Grapes,4832196,2021,69,111,69,137,
70,Christmas_Trees,398398,2021,70,0,120,120,
71,Other_Tree_Crops,938193,2021,71,175,153,111,
72,Citrus,2073663,2021,72,255,255,124,
73,,0,,73,,,,
74,Pecans,1765080,2021,74,181,111,92,
75,Almonds,8323933,2021,75,0,166,130,Extracted RGB from 2021
76,Walnuts,2355093,2021,76,232,213,175,Extracted RGB from 2021
77,Pears,233147,2021,77,175,153,111,Extracted RGB from 2021
78,,0,,78,,,,
79,,0,,79,,,,
80,,0,,80,,,,
81,Clouds_No_Data,0,2021,81,241,241,241,Zero in 2021
82,Developed,0,2021,82,153,153,153,Zero in 2021 (new codes 121 122 123 124)
83,Water,0,2021,83,73,111,162,Zero in 2021 (new code 111 Open Water) (DEVELOPED?)
84,,0,,84,,,,
85,,0,,85,,,,
86,,0,,86,,,,
87,Wetlands,0,2021,87,124,175,175,Combined Category 190 195 using RGB 190 (DEVELOPED?)
88,Nonag_Undefined,0,2021,88,232,255,190,Zero in 2021
89,,0,,89,,,,
90,,0,,90,,,,
91,,0,,91,,,,
92,Aquaculture,1984636,2021,92,0,255,255,(DEVELOPED?)
93,,0,,93,,,,
94,,0,,94,,,,
95,,0,,95,,,,
96,,0,,96,,,,
97,,0,,97,,,,
98,,0,,98,,,,
99,,0,,99,,,,
100,,0,,100,,,,
101,,0,,101,,,,
102,,0,,102,,,,
103,,0,,103,,,,
104,,0,,104,,,,
105,,0,,105,,,,
106,,0,,106,,,,
107,,0,,107,,,,
108,,0,,108,,,,
109,,0,,109,,,,
110,,0,,110,,,,
111,Open_Water,154966609,2021,111,73,111,162, (DEVELOPED?)
112,Perennial_Ice_Snow,740375,2021,112,211,226,249,Extracted RGB from 2021 (DEVELOPED?)
113,,0,,113,,,,
114,,0,,114,,,,
115,,0,,115,,,,
116,,0,,116,,,,
117,,0,,117,,,,
118,,0,,118,,,,
119,,0,,119,,,,
120,,0,,120,,,,
121,Developed_Open_Space,239144600,2021,121,153,153,153,Combined Category 121 122 123 124
122,Developed_Low_Intensity,153285851,2021,122,153,153,153,Value Changed to 121 Developed Open Space
123,Developed_Med_Intensity,92645233,2021,123,153,153,153,Value Changed to 121 Developed Open Space
124,Developed_High_Intensity,33074591,2021,124,153,153,153,Value Changed to 121 Developed Open Space
125,,0,,125,,,,
126,,0,,126,,,,
127,,0,,127,,,,
128,,0,,128,,,,
129,,0,,129,,,,
130,,0,,130,,,,
131,Barren,86718274,2021,131,204,190,162,
132,,0,,132,,,,
133,,0,,133,,,,
134,,0,,134,,,,
135,,0,,135,,,,
136,,0,,136,,,,
137,,0,,137,,,,
138,,0,,138,,,,
139,,0,,139,,,,
140,,0,,140,,,,
141,Deciduous_Forest,900889094,2021,141,147,204,147,Value Changed to 63 (Forest)
142,Evergreen_Forest,1095086759,2021,142,147,204,147,Value Changed to 63 (Forest)
143,Mixed_Forest,261752419,2021,143,147,204,147,Value Changed to 63 (Forest)
144,,0,,144,,,,
145,,0,,145,,,,
146,,0,,146,,,,
147,,0,,147,,,,
148,,0,,148,,,,
149,,0,,149,,,,
150,,0,,150,,,,
151,,0,,151,,,,
152,Shrubland,2058613927,2021,152,198,213,158,
153,,0,,153,,,,
154,,0,,154,,,,
155,,0,,155,,,,
156,,0,,156,,,,
157,,0,,157,,,,
158,,0,,158,,,,
159,,0,,159,,,,
160,,0,,160,,,,
161,,0,,161,,,,
162,,0,,162,,,,
163,,0,,163,,,,
164,,0,,164,,,,
165,,0,,165,,,,
166,,0,,166,,,,
167,,0,,167,,,,
168,,0,,168,,,,
169,,0,,169,,,,
170,,0,,170,,,,
171,,0,,171,,,,
172,,0,,172,,,,
173,,0,,173,,,,
174,,0,,174,,,,
175,,0,,175,,,,
176,Grassland_Pasture,1478376386,2021,176,232,255,190,
177,,0,,177,,,,
178,,0,,178,,,,
179,,0,,179,,,,
180,,0,,180,,,,
181,,0,,181,,,,
182,,0,,182,,,,
183,,0,,183,,,,
184,,0,,184,,,,
185,,0,,185,,,,
186,,0,,186,,,,
187,,0,,187,,,,
188,,0,,188,,,,
189,,0,,189,,,,
190,Woody_Wetlands,399227743,2021,190,124,175,175,Value Changed to 87 (Wetlands) (DEVELOPED?)
191,,0,,191,,,,
192,,0,,192,,,,
193,,0,,193,,,,
194,,0,,194,,,,
195,Herbaceous_Wetlands,121440040,2021,195,124,175,175,Value Changed to 87 (Wetlands) (DEVELOPED?)
196,,0,,196,,,,
197,,0,,197,,,,
198,,0,,198,,,,
199,,0,,199,,,,
200,,0,,200,,,,
201,,0,,201,,,,
202,,0,,202,,,,
203,,0,,203,,,,
204,Pistachios,2738318,2021,204,0,255,139,Extracted RGB from 2021
205,Triticale,3671060,2021,205,213,158,188,
206,Carrots,219320,2021,206,255,102,102,Extracted RGB from 2021
207,Asparagus,11583,2021,207,255,102,102,Extracted RGB from 2021
208,Garlic,128475,2021,208,255,102,102,Extracted RGB from 2021
209,Cantaloupes,78227,2021,209,255,102,102,
210,Prunes,0,2021,210,255,143,171,Zero in 2021
211,Olives,298398,2021,211,51,73,51,Extracted RGB from 2021
212,Oranges,3255570,2021,212,226,111,37,Extracted RGB from 2021
213,Honeydew_Melons,17407,2021,213,255,102,102,Extracted RGB from 2021
214,Broccoli,123406,2021,214,255,102,102,Extracted RGB from 2021
215,Avocados,301519,2021,215,102,153,77,Extracted RGB from 2021
216,Peppers,109503,2021,216,255,102,102,
217,Pomegranates,147521,2021,217,175,153,111,Extracted RGB from 2021
218,Nectarines,44989,2021,218,255,143,171,Extracted RGB from 2021
219,Greens,156809,2021,219,255,102,102,
220,Plums,261663,2021,220,255,143,171,
221,Strawberries,59904,2021,221,255,102,102,
222,Squash,82725,2021,222,255,102,102,
223,Apricots,1629,2021,223,255,143,171,Extracted RGB from 2021
224,Vetch,23027,2021,224,0,175,73,Extracted RGB from 2021
225,Dbl_Crop_WinWht_Corn,1570792,2021,225,255,211,0,
226,Dbl_Crop_Oats_Corn,299489,2021,226,255,211,0,
227,Lettuce,267943,2021,227,255,102,102,Extracted RGB from 2021
228,Dbl_Crop_Triticale_Corn,890237,2021,228,255,211,0,
229,Pumpkins,168659,2021,229,255,102,102,
230,Dbl_Crop_Lettuce_Durum_Wht,0,2021,230,137,96,83,Zero in 2021
231,Dbl_Crop_Lettuce_Cantaloupe,26468,2021,231,255,102,102,Extracted RGB from 2021
232,Dbl_Crop_Lettuce_Cotton,45090,2021,232,255,37,37,Extracted RGB from 2021
233,Dbl_Crop_Lettuce_Barley,3280,2021,233,226,0,124,Extracted RGB from 2021
234,Dbl_Crop_Durum_Wht_Sorghum,0,2021,234,255,158,9,Zero in 2021
235,Dbl_Crop_Barley_Sorghum,0,2021,235,255,158,9,Zero in 2021
236,Dbl_Crop_WinWht_Sorghum,1556961,2021,236,166,111,0,
237,Dbl_Crop_Barley_Corn,113200,2021,237,255,211,0,Extracted RGB from 2021
238,Dbl_Crop_WinWht_Cotton,632061,2021,238,166,111,0,
239,Dbl_Crop_Soybeans_Cotton,0,2021,239,37,111,0,Zero in 2021
240,Dbl_Crop_Soybeans_Oats,100589,2021,240,37,111,0,
241,Dbl_Crop_Corn_Soybeans,5693,2021,241,255,211,0,
242,Blueberries,1108866,2021,242,0,0,153,
243,Cabbage,108558,2021,243,255,102,102,
244,Cauliflower,22222,2021,244,255,102,102,Extracted RGB from 2021
245,Celery,7308,2021,245,255,102,102,Extracted RGB from 2021
246,Radishes,52077,2021,246,255,102,102,Extracted RGB from 2021
247,Turnips,18619,2021,247,255,255,255,Extracted RGB from 2021
248,Eggplants,2792,2021,248,255,255,255,Extracted RGB from 2021
249,Gourds,545,2021,249,255,255,255,Extracted RGB from 2021
250,Cranberries,39481,2021,250,255,255,255,Extracted RGB from 2021
251,,0,,251,,,,
252,,0,,252,,,,
253,,0,,253,,,,
254,Dbl_Crop_Barley_Soybeans,207667,2021,254,37,111,0,
255,,0,,255,,,,
