Field_ID,Landuse_Type_ID,Mgmt_Schd_ID,Greg_Yr_for_1st_Yr_of_Rotation,Percent_Rock_Cover,Interrill_Erosion_Code,Random_Roughness,Terrace_Horizontal_Distance,Terrace_Grade,Tile_Drain_ID,Input_Units_Code,CDL_Category,CDL_Value,Modified_CDL_Category
Nonag_Undefined,FOREST,Nonag_Undefined,,,,,,,,1,Nonag/Undefined,88,Nonag_Undefined
Oats,CROPLAND,Oats,,,,,,,,1,Oats,28,Oats
Olives,CROPLAND,Olives,,,,,,,,1,Olives,211,Olives
Onions,CROPLAND,Onions,,,,,,,,1,Onions,49,Onions
Oranges,CROPLAND,Oranges,,,,,,,,1,Oranges,212,Oranges
Other_Crops,CROPLAND,Other_Crops,,,,,,,,1,Other Crops,44,Other_Crops
Other_Hay_Non_Alfalfa,CROPLAND,Other_Hay_Non_Alfalfa,,,,,,,,1,Other Hay/Non Alfalfa,37,Other_Hay_Non_Alfalfa
Other_Small_Grains,CROPLAND,Other_Small_Grains,,,,,,,,1,Other Small Grains,25,Other_Small_Grains
Other_Tree_Crops,CROPLAND,Other_Tree_Crops,,,,,,,,1,Other Tree Crops,71,Other_Tree_Crops
Pasture_Grass,CROPLAND,Pasture_Grass,,,,,,,,1,Pasture/Grass,62,Pasture_Grass
Peaches,CROPLAND,Peaches,,,,,,,,1,Peaches,67,Peaches
Peanuts,CROPLAND,Peanuts,,,,,,,,1,Peanuts,10,Peanuts
Pears,CROPLAND,Pears,,,,,,,,1,Pears,77,Pears
Peas,CROPLAND,Peas,,,,,,,,1,Peas,53,Peas
Pecans,CROPLAND,Pecans,,,,,,,,1,Pecans,74,Pecans
Peppers,CROPLAND,Peppers,,,,,,,,1,Peppers,216,Peppers
Pistachios,CROPLAND,Pistachios,,,,,,,,1,Pistachios,204,Pistachios
Plums,CROPLAND,Plums,,,,,,,,1,Plums,220,Plums
Pomegranates,CROPLAND,Pomegranates,,,,,,,,1,Pomegranates,217,Pomegranates
Pop_or_Orn_Corn,CROPLAND,Pop_or_Orn_Corn,,,,,,,,1,Pop or Orn Corn,13,Pop_or_Orn_Corn
Potatoes,CROPLAND,Potatoes,,,,,,,,1,Potatoes,43,Potatoes
Prunes,CROPLAND,Prunes,,,,,,,,1,Prunes,210,Prunes
Pumpkins,CROPLAND,Pumpkins,,,,,,,,1,Pumpkins,229,Pumpkins
Radishes,CROPLAND,Radishes,,,,,,,,1,Radishes,246,Radishes
Rape_Seed,CROPLAND,Rape_Seed,,,,,,,,1,Rape Seed,34,Rape_Seed
Rice,CROPLAND,Rice,,,,,,,,1,Rice,3,Rice
Rye,CROPLAND,Rye,,,,,,,,1,Rye,27,Rye
Safflower,CROPLAND,Safflower,,,,,,,,1,Safflower,33,Safflower
Shrubland,RANGELAND,Shrubland,,,,,,,,1,Shrubland,64,Shrubland
Sod_Grass_Seed,PASTURE,Sod_Grass_Seed,,,,,,,,1,Sod/Grass Seed,59,Sod_Grass_Seed
Sorghum,CROPLAND,Sorghum,,,,,,,,1,Sorghum,4,Sorghum
Soybeans,CROPLAND,Soybeans,,,,,,,,1,Soybeans,5,Soybeans
Speltz,CROPLAND,Speltz,,,,,,,,1,Speltz,30,Speltz
Spring_Wheat,CROPLAND,Spring_Wheat,,,,,,,,1,Spring Wheat,23,Spring_Wheat
Squash,CROPLAND,Squash,,,,,,,,1,Squash,222,Squash
Strawberries,CROPLAND,Strawberries,,,,,,,,1,Strawberries,221,Strawberries
Sugarbeets,CROPLAND,Sugarbeets,,,,,,,,1,Sugarbeets,41,Sugarbeets
Sugarcane,CROPLAND,Sugarcane,,,,,,,,1,Sugarcane,45,Sugarcane
Sunflower,CROPLAND,Sunflower,,,,,,,,1,Sunflower,6,Sunflower
Sweet_Corn,CROPLAND,Sweet_Corn,,,,,,,,1,Sweet Corn,12,Sweet_Corn
Sweet_Potatoes,CROPLAND,Sweet_Potatoes,,,,,,,,1,Sweet Potatoes,46,Sweet_Potatoes
Switchgrass,CROPLAND,Switchgrass,,,,,,,,1,Switchgrass,60,Switchgrass
Tobacco,CROPLAND,Tobacco,,,,,,,,1,Tobacco,11,Tobacco
Tomatoes,CROPLAND,Tomatoes,,,,,,,,1,Tomatoes,54,Tomatoes
Triticale,CROPLAND,Triticale,,,,,,,,1,Triticale,205,Triticale
Turnips,CROPLAND,Turnips,,,,,,,,1,Turnips,247,Turnips
Vetch,CROPLAND,Vetch,,,,,,,,1,Vetch,224,Vetch
Walnuts,CROPLAND,Walnuts,,,,,,,,1,Walnuts,76,Walnuts
Watermelons,CROPLAND,Watermelons,,,,,,,,1,Watermelons,48,Watermelons
Wetlands,URBAN,Wetlands,,,,,,,,1,Wetlands,87,Developed
Winter_Wheat,CROPLAND,Winter_Wheat,,,,,,,,1,Winter Wheat,24,Winter_Wheat
