Mgmt_Operation_ID,Effect_Code_01,Effect_Code_02,Effect_Code_03,Effect_Code_04,Effect_Code_05,Residue_Cover_Remaining,Residue_Weight_Remaining,Area_Disturbed,Initial_Random_Roughness,Final_Random_Roughness,Operation_Tillage_Depth,Added_Surface_Residue,Surface_Decomp,Subsurface_Decomp,Surface_Residue_30%,Surface_Residue_60%,Surface_Residue_90%,Input_Units_Code
disk;_offset;_heavy,8,1,2,,,1,,100,1.5,0.24,6,,,,,,,0
disk;_single_gang,8,1,2,,,0.5,,100,0.6,0.24,3,,,,,,,0
disk;_tandem_heavy_1,8,1,2,,,1,,100,1.5,0.24,6,,,,,,,0
disk;_tandem_light_f,8,1,2,,,0.65,,100,0.6,0.24,3,,,,,,,0
disk;_tandem_second2,8,1,2,,,0.75,,100,0.6,0.24,5,,,,,,,0
do_all;_on_beds,1,2,4,1,1,0.9,,50,0.6,0.24,2,100,,,,,,0
drill_or_airseeder;2,1,2,7,,,0.4,,65,0.3,0.24,1.5,,,,,,,0
drill_or_airseeder;3,1,2,7,,,0.4,,85,0.3,0.24,2.5,,,,,,,0
drill_or_airseeder;4,1,2,7,,,0.4,,55,0.3,0.24,2,,,,,,,0
drill;_semi-deep_fur,1,2,7,,,0.6,,85,0.4,0.24,4,,,,,,,0
drip_tape_injector_b,8,1,2,,,1,,100,0.6,0.24,4,,,,,,,0
drip_tape_injection2,1,2,,,,0.6,,20,0.6,0.24,4,,,,,,,0
fert_applic._anhyd_1,1,2,,,,0.8,,50,0.6,0.24,4,,,,,,,0
fert._applic._anhyd5,1,2,,,,0.6,,20,0.6,0.24,4,,,,,,,0
fert_applic._shank_1,1,2,,,,0.8,,25,0.6,0.24,4,,,,,,,0
fert_applic._shank_3,1,2,,,,0.8,,20,0.6,0.24,4,,,,,,,0
fert_applic._side-dr,1,,,,,,,,,,,,,,,,,0
fert_applic._surface,1,,,,,,,,,,,,,,,,,0
fert._applic._sugarc,1,2,,,,0.6,,12,0.6,0.24,4,,,,,,,0
graze;_continuous,6,5,2,7,,1,,100,0.6,0.6,2,,,,,,,0
graze;_rotational,6,5,2,7,,1,,100,0.6,0.6,2,,,,,,,0
grazing;_continuous2,6,8,,,,,,,,,,,,,,,,0
grazing;_set_season2,6,8,,,,,,,,,,,,,,,,0
harrow;_coiled_tine,8,1,2,,,0.25,,100,0.4,0.24,2,,,,,,,0
harrow;_spike_tooth,8,1,2,,,0.4,,100,0.4,0.24,2,,,,,,,0
harrow;_spike_tooth;,1,2,,,,0.4,,100,0.4,0.24,2,,,,,,,0
harvest;_broccoli_an,6,8,,,,,,,,,,,,,,,,0
harvest;_cabbage_an1,6,1,8,,,,,,,,,,,,,,,0
harvest;_cabbage_an2,6,1,8,,,,,,,,,,,,,,,0
harvest;_cotton_and_,8,1,,,,,,,,,,,,,,,,0
harvest;_cranberries,1,6,,,,,,,,,,,,,,,,0
harvest;_dig_root_c3,2,8,1,1,,1,,100,0.4,0.24,7,,,,,,,0
harvest;_dig_root_c5,2,8,1,1,,1,,50,0.4,0.24,7,,,,,,,0
harvest;_fruit_crops,1,6,,,,,,,,,,,,,,,,0
harvest;_hand_pick,1,7,,,,,,,,,,,,,,,,0
harvest;_hand_pick_1,1,,,,,,,,,,,,,,,,,0
harvest;_hand_pick_m,1,6,,,,,,,,,,,,,,,,0
harvest;_hand_pull,2,8,5,,,0.4,,35,1.2,0.24,5,,,,,,,0
harvest;_hay;_grass,6,1,7,,,,,,,,,,,,,,,0
harvest;_hay;_legume,6,1,7,,,,,,,,,,,,,,,0
harvest;_hay;_no_reg,6,8,,,,,,,,,,,,,,,,0
harvest;_killing_cr2,8,1,,,,,,,,,,,,,,,,0
harvest;_killing_cr4,8,1,,,,,,,,,,,,,,,,0
harvest;_killing_cr5,8,1,,,,,,,,,,,,,,,,0
harvest;_killing_cr8,8,1,,,,,,,,,,,,,,,,0
harvest;_knife;_wind,2,8,1,1,1,0.5,,100,0.4,0.24,2,,,,,,,0
harvest;_leafy_veg.,6,8,,,,,,,,,,,,,,,,0
harvest;_onions,8,1,2,,,0.2,,100,0.3,0.24,2,,,,,,,0
harvest;_orchard_and,1,1,6,,,,,,,,,,,,,,,0
harvest;_peanut_digg,2,8,1,1,,1,,100,0.3,0.15,4,,,,,,,0
harvest;_silage,6,8,,,,,,,,,,,,,,,,0
harvest;_sugarcane;1,5,1,7,,,,,,,,,,,,,,,0
harvest;_tobacco;_f1,6,8,,,,,,,,,,,,,,,,0
harvest;_vine_crops,1,,,,,,,,,,,,,,,,,0
hydro-seeder,4,7,,,,,,,,,,100,,,,,,0
kill_crop,8,1,,,,,,,,,,,,,,,,0
land_plane,1,2,,,,0.5,,100,0.3,0.24,2,,,,,,,0
lister;_40_in,8,1,2,,,1,,100,0.8,0.24,6,,,,,,,0
manure;_liquid_irrig,4,1,,,,,,,,,,100,,,,,,0
manure_spreader;_sol,4,2,1,,,0.1,,20,0.24,0.24,1,100,,,,,,0
mulch_crimper,1,2,,,,0.2,,15,0.3,0.24,2,,,,,,,0
mulch_treader,1,2,,,,0.5,,100,0.4,0.24,2,,,,,,,0
no_operation,1,,,,,,,,,,,,,,,,,0
planter;_double_di5,1,2,7,,,0.4,,15,0.4,0.24,2.5,,,,,,,0
planter;_double_di6,1,2,7,,,0.4,,15,0.4,0.24,2.5,,,,,,,0
planter;_double_di7,1,2,7,,,0.4,,20,0.4,0.24,2.5,,,,,,,0
planter;_in-row_sub1,1,2,7,,,0.25,,40,1.5,0.24,15,,,,,,,0
planter;_potato;_6_1,1,2,1,1,7,0.9,,100,0.6,0.24,4,,,,,,,0
planter;_small_veg_1,2,7,,,,0.4,,15,0.3,0.24,1.5,,,,,,,0
planter;_small_veg_2,2,7,,,,0.4,,15,0.3,0.24,1.5,,,,,,,0
planter;_strip_till,1,2,7,,,0.4,,30,0.4,0.24,2.5,,,,,,,0
planter;_transplant1,1,2,7,,,0.4,,20,0.4,0.24,6,,,,,,,0
planter;_transplant2,1,2,7,,,0.4,,20,0.4,0.24,6,,,,,,,0
planting;_broadcast2,7,,,,,,,,,,,,,,,,,0
planting;_hand_5_per,2,7,,,,0.5,,5,0.3,0.24,2,,,,,,,0
planting;_manual,2,7,,,,0.5,,30,0.9,0.24,2,,,,,,,0
plastic_mulch_appl4,2,3,,,,0.1,,17,0.6,0.24,3,,,,,,,0
plastic_mulch_appl9,2,3,,,,0.5,,20,0.6,0.24,3,,,,,,,0
plastic_mulch_appl10,2,3,,,,0.6,,20,0.6,0.24,3,,,,,,,0
plastic_mulch_appl11,2,3,,,,0.6,,20,0.6,0.24,3,,,,,,,0
plastic_mulch;_remov,1,2,10,,,0.6,,20,0.6,0.24,2,,,,,,,0
plow;_moldboard,8,1,2,,,1,,100,1.9,0.24,8,,,,,,,0
plow;_moldboard_6-7_,8,1,2,,,1,,100,1.9,0.24,6,,,,,,,0
pruning,4,,,,,,,,,,,100,,,,,,0
rake_or_windrower,1,2,,,,0.1,,15,0.3,0.24,1,,,,,,,0
regrow,7,,,,,,,,,,,,,,,,,0
roller;_corrugated_1,1,2,,,,0.5,,100,0.32,0.24,1.5,,,,,,,0
roller;_on_beds,1,2,,,,0.5,,40,0.3,0.24,1,,,,,,,0
roller;_smooth,1,2,,,,0.4,,100,0.3,0.24,1,,,,,,,0
rototiller;_field,8,1,2,,,1,,100,0.4,0.24,4,,,,,,,0
rototiller;_row_cul2,1,2,,,,0.8,,85,0.7,0.24,3,,,,,,,0
shred_residue;_6_inc,8,1,,,,,,,,,,,,,,,,0
shredder;_flail_or_1,8,1,,,,,,,,,,,,,,,,0
shredder;_flail_or_2,1,4,,,,,,,,,,100,,,,,,0
shredder;_rotary;_r1,1,6,7,,,,,,,,,,,,,,,0
shredder;_rotary_mow,4,,,,,,,,,,,100,,,,,,0
sprayer;_defoliant,8,,,,,,,,,,,,,,,,,0
sprayer;_fungicide,1,,,,,,,,,,,,,,,,,0
sprayer;_fungicide_a,1,,,,,,,,,,,,,,,,,0
sprayer;_growth_regu,1,,,,,,,,,,,,,,,,,0
sprayer;_insecticide,1,,,,,,,,,,,,,,,,,0
sprayer;_kill_crop,8,1,,,,,,,,,,,,,,,,0
sprayer;_post_emerg1,4,,,,,,,,,,,100,,,,,,0
sprayer;_post_emerg2,4,,,,,,,,,,,100,,,,,,0
sprayer;_pre-emergen,1,,,,,,,,,,,,,,,,,0
striptiller_w/middle,8,1,2,,,1,,30,0.6,0.24,6,,,,,,,0
subsoiler,1,2,,,,0.8,,75,1.2,0.24,15,,,,,,,0
subsoiler_bedder_(ri,8,1,2,,,0.9,,100,1.2,0.24,7,,,,,,,0
subsoiler_ripper;_24,1,2,,,,0.8,,30,1.2,0.24,24,,,,,,,0
sweep;_single_under2,8,1,2,7,,0.4,,50,0.9,0.24,2,,,,,,,0
water_mulch;_on,3,,,,,,,,,,,,,,,,,0
water_mulch;_off,3,,,,,,,,,,,,,,,,,0
weed_control;_manual,4,2,,,,0.9,,85,0.5,0.24,3,90,,,,,,0
winter_kill_annual_c,8,1,,,,,,,,,,,,,,,,0
